TICK:122 | ORBIT:1 | TEMP:-11 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:123 | ORBIT:1 | TEMP:-12 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:124 | ORBIT:1 | TEMP:-13 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:125 | ORBIT:1 | TEMP:-13 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:126 | ORBIT:1 | TEMP:-14 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:127 | ORBIT:1 | TEMP:-14 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:128 | ORBIT:1 | TEMP:-15 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:129 | ORBIT:1 | TEMP:-15 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:130 | ORBIT:1 | TEMP:-16 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:131 | ORBIT:1 | TEMP:-16 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:132 | ORBIT:1 | TEMP:-16 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:133 | ORBIT:1 | TEMP:-17 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:134 | ORBIT:1 | TEMP:-17 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:135 | ORBIT:1 | TEMP:-17 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:136 | ORBIT:1 | TEMP:-17 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:137 | ORBIT:1 | TEMP:-17 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:138 | ORBIT:1 | TEMP:-17 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:139 | ORBIT:1 | TEMP:-17 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:140 | ORBIT:1 | TEMP:-17 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:141 | ORBIT:1 | TEMP:-17 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:142 | ORBIT:1 | TEMP:-17 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:143 | ORBIT:1 | TEMP:-17 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:144 | ORBIT:1 | TEMP:-17 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
